#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-08T22:58:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61105f001ec44	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/284&tab:{VII/284/snrs}&key:source=VII/284&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/284/snrs
#-order=I
#-out=SNR
#-out=RAJ2000
#-out=DEJ2000
#Simbad=Simbad
#

#RESOURCE=yCat_7284
#Name: VII/284
#Title: A Catalogue of Galactic Supernova Remnants (Green, 2019)
#Table	VII_284_snrs:
#Name: VII/284/snrs
#Title: Supernova Remnant catalogue
#Column	SNR	(A11)	*Supernova Remnant designation	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000 hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000 degrees	[ucd=pos.eq.dec;meta.main]
SNR;RAJ2000;DEJ2000
G020.0-00.2;18 28 07;-11 35
G021.0-00.4;18 31 12;-10 47
G021.5-00.9;18 33 33;-10 35
G021.6-00.8;18 33 40;-10 25
G021.8-00.6;18 32 45;-10 08
G022.7-00.2;18 33 15;-09 13
G023.3-00.3;18 34 45;-08 48
G024.7-00.6;18 38 43;-07 32
G024.7+00.6;18 34 10;-07 05
G025.1-02.3;18 45 10;-08 00
G027.4+00.0;18 41 19;-04 56
G027.8+00.6;18 39 50;-04 24
G028.6-00.1;18 43 55;-03 53
G028.8+01.5;18 39 00;-02 55
G029.6+00.1;18 44 52;-02 57
G029.7-00.3;18 46 25;-02 59
G030.7-02.0;18 54 25;-02 54
G030.7+01.0;18 44 00;-01 32
G031.5-00.6;18 51 10;-01 31
G031.9+00.0;18 49 25;-00 55
G032.0-04.9;19 06 00;-03 00
G032.1-00.9;18 53 10;-01 08
G032.4+00.1;18 50 05;-00 25
G032.8-00.1;18 51 25;-00 08
G033.2-00.6;18 53 50;-00 02
G033.6+00.1;18 52 48;+00 41
G034.7-00.4;18 56 00;+01 22
G035.6-00.4;18 57 55;+02 13
G036.6-00.7;19 00 35;+02 56
G036.6+02.6;18 48 49;+04 26
G038.7-01.3;19 06 40;+04 28
G039.2-00.3;19 04 08;+05 28
G039.7-02.0;19 12 20;+04 55
G040.5-00.5;19 07 10;+06 31
G041.1-00.3;19 07 34;+07 08
G041.5+00.4;19 05 50;+07 46
G042.0-00.1;19 08 10;+08 00
G042.8+00.6;19 07 20;+09 05
G043.3-00.2;19 11 08;+09 06
G043.9+01.6;19 05 50;+10 30
G045.7-00.4;19 16 25;+11 09
G046.8-00.3;19 18 10;+12 09
G049.2-00.7;19 23 50;+14 06
G053.4+00.0;19 29 57;+18 10
G053.6-02.2;19 38 50;+17 14
G054.1+00.3;19 30 31;+18 52
G054.4-00.3;19 33 20;+18 56
G055.0+00.3;19 32 00;+19 50
G055.7+03.4;19 21 20;+21 44
G057.2+00.8;19 34 59;+21 57
G059.5+00.1;19 42 33;+23 35
G063.7+01.1;19 47 52;+27 45
G064.5+00.9;19 50 25;+28 16
G065.1+00.6;19 54 40;+28 35
G065.3+05.7;19 33 00;+31 10
G065.7+01.2;19 52 10;+29 26
G066.0-00.0;19 57 50;+29 03
G067.6+00.9;19 57 45;+30 53
G067.7+01.8;19 54 32;+31 29
G067.8+00.5;20 00 00;+30 51
G068.6-01.2;20 08 40;+30 37
G069.0+02.7;19 53 20;+32 55
G069.7+01.0;20 02 40;+32 43
G070.0-21.5;21 24 00;+19 23
G073.9+00.9;20 14 15;+36 12
G074.0-08.5;20 51 00;+30 40
G074.9+01.2;20 16 02;+37 12
G076.9+01.0;20 22 20;+38 43
G078.2+02.1;20 20 50;+40 26
G082.2+05.3;20 19 00;+45 30
G083.0-00.3;20 46 55;+42 52
G084.2-00.8;20 53 20;+43 27
G085.4+00.7;20 50 40;+45 22
G085.9-00.6;20 58 40;+44 53
G089.0+04.7;20 45 00;+50 35
G093.3+06.9;20 52 25;+55 21
G093.7-00.2;21 29 20;+50 50
G094.0+01.0;21 24 50;+51 53
G096.0+02.0;21 30 30;+53 59
G106.3+02.7;22 27 30;+60 50
G108.2-00.6;22 53 40;+58 50
G109.1-01.0;23 01 35;+58 53
G111.7-02.1;23 23 26;+58 48
G113.0+00.2;23 26 50;+61 26
G114.3+00.3;23 37 00;+61 55
G116.5+01.1;23 53 40;+63 15
G116.9+00.2;23 59 10;+62 26
G119.5+10.2;00 06 40;+72 45
G120.1+01.4;00 25 18;+64 09
G126.2+01.6;01 22 00;+64 15
G127.1+00.5;01 28 20;+63 10
G130.7+03.1;02 05 41;+64 49
G132.7+01.3;02 17 40;+62 45
G150.3+04.5;04 27 00;+55 28
G152.4-02.1;04 07 50;+49 11
G156.2+05.7;04 58 40;+51 50
G159.6+07.3;05 20 00;+50 00
G160.9+02.6;05 01 00;+46 40
G166.0+04.3;05 26 30;+42 56
G178.2-04.2;05 25 05;+28 11
G179.0+02.6;05 53 40;+31 05
G180.0-01.7;05 39 00;+27 50
G181.1+09.5;06 26 40;+32 30
G182.4+04.3;06 08 10;+29 00
G184.6-05.8;05 34 31;+22 01
G189.1+03.0;06 17 00;+22 34
G190.9-02.2;06 01 55;+18 24
G205.5+00.5;06 39 00;+06 30
G206.9+02.3;06 48 40;+06 26
G213.0-00.6;06 50 50;-00 30
G260.4-03.4;08 22 10;-43 00
G261.9+05.5;09 04 20;-38 42
G263.9-03.3;08 34 00;-45 50
G266.2-01.2;08 52 00;-46 20
G272.2-03.2;09 06 50;-52 07
G279.0+01.1;09 57 40;-53 15
G284.3-01.8;10 18 15;-59 00
G286.5-01.2;10 35 40;-59 42
G289.7-00.3;11 01 15;-60 18
G290.1-00.8;11 03 05;-60 56
G291.0-00.1;11 11 54;-60 38
G292.0+01.8;11 24 36;-59 16
G292.2-00.5;11 19 20;-61 28
G293.8+00.6;11 35 00;-60 54
G294.1-00.0;11 36 10;-61 38
G296.1-00.5;11 51 10;-62 34
G296.5+10.0;12 09 40;-52 25
G296.7-00.9;11 55 30;-63 08
G296.8-00.3;11 58 30;-62 35
G298.5-00.3;12 12 40;-62 52
G298.6-00.0;12 13 41;-62 37
G299.2-02.9;12 15 13;-65 30
G299.6-00.5;12 21 45;-63 09
G301.4-01.0;12 37 55;-63 49
G302.3+00.7;12 45 55;-62 08
G304.6+00.1;13 05 59;-62 42
G306.3-00.9;13 21 50;-63 34
G308.1-00.7;13 37 37;-63 04
G308.4-01.4;13 41 30;-63 44
G308.8-00.1;13 42 30;-62 23
G309.2-00.6;13 46 31;-62 54
G309.8+00.0;13 50 30;-62 05
G310.6-01.6;14 00 45;-63 26
G310.6-00.3;13 58 00;-62 09
G310.8-00.4;14 00 00;-62 17
G311.5-00.3;14 05 38;-61 58
G312.4-00.4;14 13 00;-61 44
G312.5-03.0;14 21 00;-64 12
G315.1+02.7;14 24 30;-57 50
G315.4-02.3;14 43 00;-62 30
G315.4-00.3;14 35 55;-60 36
G315.9-00.0;14 38 25;-60 11
G316.3-00.0;14 41 30;-60 00
G317.3-00.2;14 49 40;-59 46
G318.2+00.1;14 54 50;-59 04
G318.9+00.4;14 58 30;-58 29
G320.4-01.2;15 14 30;-59 08
G320.6-01.6;15 17 50;-59 16
G321.9-01.1;15 23 45;-58 13
G321.9-00.3;15 20 40;-57 34
G322.1+00.0;15 20 49;-57 10
G322.5-00.1;15 23 23;-57 06
G323.5+00.1;15 28 42;-56 21
G323.7-01.0;15 34 30;-57 12
G326.3-01.8;15 53 00;-56 10
G327.1-01.1;15 54 25;-55 09
G327.2-00.1;15 50 55;-54 18
G327.4+00.4;15 48 20;-53 49
G327.4+01.0;15 46 48;-53 20
G327.6+14.6;15 02 50;-41 56
G328.4+00.2;15 55 30;-53 17
G329.7+00.4;16 01 20;-52 18
G330.0+15.0;15 10 00;-40 00
G330.2+01.0;16 01 06;-51 34
G332.0+00.2;16 13 17;-50 53
G332.4-00.4;16 17 33;-51 02
G332.4+00.1;16 15 20;-50 42
G332.5-05.6;16 43 20;-54 30
G335.2+00.1;16 27 45;-48 47
G336.7+00.5;16 32 11;-47 19
G337.0-00.1;16 35 57;-47 36
G337.2-00.7;16 39 28;-47 51
G337.2+00.1;16 35 55;-47 20
G337.3+01.0;16 32 39;-46 36
G337.8-00.1;16 39 01;-46 59
G338.1+00.4;16 37 59;-46 24
G338.3-00.0;16 41 00;-46 34
G338.5+00.1;16 41 09;-46 19
G340.4+00.4;16 46 31;-44 39
G340.6+00.3;16 47 41;-44 34
G341.2+00.9;16 47 35;-43 47
G341.9-00.3;16 55 01;-44 01
G342.0-00.2;16 54 50;-43 53
G342.1+00.9;16 50 43;-43 04
G343.0-06.0;17 25 00;-46 30
G343.1-02.3;17 08 00;-44 16
G343.1-00.7;17 00 25;-43 14
G344.7-00.1;17 03 51;-41 42
G345.7-00.2;17 07 20;-40 53
G346.6-00.2;17 10 19;-40 11
G347.3-00.5;17 13 50;-39 45
G348.5-00.0;17 15 26;-38 28
G348.5+00.1;17 14 06;-38 32
G348.7+00.3;17 13 55;-38 11
G349.2-00.1;17 17 15;-38 04
G349.7+00.2;17 17 59;-37 26
G350.0-02.0;17 27 50;-38 32
G350.1-00.3;17 21 05;-37 27
G351.0-05.4;17 46 00;-39 25
G351.2+00.1;17 22 27;-36 11
G351.7+00.8;17 21 00;-35 27
G351.9-00.9;17 28 52;-36 16
G352.7-00.1;17 27 40;-35 07
G353.6-00.7;17 32 00;-34 44
G353.9-02.0;17 38 55;-35 11
G354.1+00.1;17 30 28;-33 46
G354.8-00.8;17 36 00;-33 42
G355.4+00.7;17 31 20;-32 26
G355.6-00.0;17 35 16;-32 38
G355.9-02.5;17 45 53;-33 43
G356.2+04.5;17 19 00;-29 40
G356.3-01.5;17 42 35;-32 52
G356.3-00.3;17 37 56;-32 16
G357.7-00.1;17 40 29;-30 58
G357.7+00.3;17 38 35;-30 44
G358.0+03.8;17 26 00;-28 36
G358.1+01.0;17 37 00;-29 59
G358.5-00.9;17 46 10;-30 40
G359.0-00.9;17 46 50;-30 16
G359.1-00.5;17 45 30;-29 57
G359.1+00.9;17 39 36;-29 11

