#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-08T23:04:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6110576e3c04da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/24&tab:{IV/24/table2}&key:source=IV/24/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/24/table2
#-order=I
#-out=PK
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_4024
#Name: IV/24
#Title: Catalogue of Galactic Planetary Nebulae (Kohoutek, 2001)
#Table	IV_24_table2:
#Name: IV/24/table2
#Title: List of Planetary Nebulae (according to right ascension)
#Column	PK	(A9)	[0-9. +-] PK designation, as in CGPN	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
PK;RAJ2000;DEJ2000
190-17.1 ;05 05.6;+10 42
167-00.1 ;05 06.6;+39 08
173-05.1 ;05 07.1;+30 49
215-24.1 ;05 27.5;-12 42
172+00.1 ;05 29.0;+36 03
203-18.1 ;05 28.9;-00 41
178-02.1 ;05 31.6;+28 59
197-14.1 ;05 31.8;+06 56
156+12.1 ;05 38.0;+55 32
170+04.1 ;05 41.4;+39 15
193-09.1 ;05 40.7;+12 22
173+03.1 ;05 42.6;+36 09
196-10.1 ;05 42.1;+09 05
184-02.1 ;05 46.9;+24 22
204-13.1 ;05 47.6;+00 39
181+00.1 ;05 52.9;+28 06
166+10.1 ;05 56.4;+46 06
228-22.1 ;05 55.1;-22 54
193-04.1 ;05 57.2;+15 25
184+00.1 ;05 58.8;+25 19
197-06.1 ;05 59.4;+10 42
286-29.1 ;05 57.0;-75 41
198-06.1 ;06 02.4;+09 39
243-25.1 ;06 02.1;-37 25
204-08.1 ;06 04.8;+03 57
197-03.1 ;06 11.2;+11 47
184+04.1 ;06 13.9;+26 53
201-04.1 ;06 14.6;+07 34
183+05.1 ;06 16.2;+28 22
208-07.1 ;06 16.3;+00 00
158+17.1 ;06 19.6;+55 37
221-12.1 ;06 21.7;-12 59
204-03.1 ;06 23.9;+05 30
218-10.1 ;06 23.7;-10 14
240-19.1 ;06 24.6;-33 05
194+02.1 ;06 25.9;+17 47
233-16.1 ;06 27.0;-25 23
170+15.1 ;06 34.2;+44 47
211-03.1 ;06 35.8;-00 06
189+07.1 ;06 37.4;+24 00
228-11.1 ;06 37.7;-18 58
201+02.1 ;06 40.0;+11 06
192+07.1 ;06 40.2;+21 25
216-04.1 ;06 41.6;-05 03
153+22.1 ;06 43.9;+61 47
197+05.1 ;06 43.4;+16 49
210-00.2 ;06 44.6;+01 19
208+01.1 ;06 47.1;+04 38
221-04.1 ;06 48.7;-09 32
233-10.1 ;06 50.7;-22 27
204+04.1 ;06 52.6;+09 58
210+01.1 ;06 53.5;+03 08
222-04.1 ;06 54.3;-10 46
236-10.1 ;06 54.3;-25 25
239-12.1 ;06 55.2;-29 08
216-00.1 ;06 56.2;-02 53
217-00.1 ;06 58.7;-03 41
200+08.1 ;06 59.9;+14 37
210+03.1 ;07 00.4;+04 21
226-03.1 ;07 02.8;-13 42
242-11.1 ;07 02.8;-31 35
212+04.1 ;07 05.3;+02 47
217+02.1 ;07 06.8;-03 05
225-02.1 ;07 06.7;-11 46
234-06.1 ;07 06.9;-22 03
215+03.1 ;07 09.3;-00 49
232-04.1 ;07 11.3;-19 51
229-02.1 ;07 12.6;-16 06
240-07.1 ;07 14.8;-27 50
258-15.1 ;07 14.8;-46 57
225+00.1 ;07 16.2;-10 53
224+01.1 ;07 17.5;-10 10
247-10.1 ;07 18.2;-34 55
199+14.1 ;07 20.0;+18 17
235-03.1 ;07 19.3;-21 44
232-01.1 ;07 21.2;-18 09
214+07.1 ;07 23.0;+01 45
189+19.1 ;07 25.6;+29 29
221+05.2 ;07 26.5;-05 22
221+05.1 ;07 26.6;-05 22
235-01.1 ;07 28.0;-20 13
197+17.1 ;07 29.2;+20 55
205+14.1 ;07 29.0;+13 15
248-08.1 ;07 28.9;-35 45
219+07.1 ;07 29.9;-02 06
238-01.1 ;07 33.4;-23 27
215+11.1 ;07 36.1;+02 42
226+05.1 ;07 37.3;-09 39
228+05.1 ;07 40.4;-11 32
231+04.2 ;07 41.8;-14 44
234+02.1 ;07 41.9;-18 12
231+04.1 ;07 42.1;-14 21
247-04.1 ;07 42.4;-32 48
249-05.1 ;07 43.3;-34 45
243-01.1 ;07 47.4;-27 20
264-12.1 ;07 47.3;-51 15
235+04.1 ;07 50.0;-17 52
236+03.1 ;07 50.2;-19 19
217+14.1 ;07 51.6;+03 00
252-04.1 ;07 52.9;-36 44
259-09.1 ;07 52.8;-45 12
211+18.1 ;07 55.2;+09 33
241+02.1 ;07 55.2;-23 38
164+31.1 ;07 57.9;+53 25
251-03.1 ;07 57.2;-36 07
245+01.1 ;08 02.5;-27 41
251-01.1 ;08 04.2;-34 16
263-08.1 ;08 05.2;-48 24
257-05.1 ;08 05.6;-41 57
224+15.1 ;08 06.8;-02 53
255-03.1 ;08 06.5;-38 54
238+07.2 ;08 08.7;-19 14
246+02.1 ;08 08.6;-27 41
250+00.1 ;08 09.1;-32 41
211+22.1 ;08 11.2;+10 57
240+07.1 ;08 10.7;-20 32
264-08.1 ;08 11.5;-48 43
251+00.1 ;08 13.4;-33 01
257-02.1 ;08 16.2;-39 52
253+00.1 ;08 20.9;-35 17
263-05.1 ;08 20.7;-46 23
261-04.1 ;08 21.1;-44 24
262-04.1 ;08 23.9;-45 31
257-00.1 ;08 27.1;-39 02
258-00.1 ;08 28.4;-39 24
257+00.1 ;08 30.9;-38 18
249+06.1 ;08 31.7;-27 45
252+04.1 ;08 31.9;-32 06
239+13.1 ;08 33.4;-16 09
265-04.1 ;08 34.1;-47 16
264-03.1 ;08 34.4;-46 25
255+03.1 ;08 36.3;-35 15
259+00.1 ;08 37.2;-39 26
260+00.2 ;08 37.4;-40 39
158+37.1 ;08 41.5;+58 14
244+12.1 ;08 40.3;-20 55
254+05.1 ;08 40.6;-32 23
256+03.1 ;08 41.1;-36 03
260+00.1 ;08 42.2;-40 44
265-02.1 ;08 43.5;-46 07
267-03.1 ;08 43.5;-48 55
208+33.1 ;08 46.9;+17 53
263+00.1 ;08 48.7;-42 54
219+31.1 ;08 54.2;+08 55
261+02.1 ;08 53.5;-40 03
272-05.1 ;08 53.6;-54 05
269-03.1 ;08 54.3;-50 32
253+10.1 ;08 57.7;-28 58
270-02.1 ;08 59.0;-50 24
285-14.1 ;09 07.1;-69 56
273-03.1 ;09 08.6;-53 19
265+04.1 ;09 12.5;-42 25
275-04.2 ;09 13.9;-55 28
275-04.1 ;09 15.1;-54 53
261+08.1 ;09 16.0;-36 38
268+02.1 ;09 16.1;-45 29
275-03.1 ;09 18.0;-54 40
278-06.1 ;09 19.5;-59 12
278-05.1 ;09 21.4;-58 19
275-02.1 ;09 22.1;-54 10
275-02.2 ;09 24.8;-54 36
277-03.1 ;09 27.0;-56 06
275-01.1 ;09 30.9;-53 10
278-04.1 ;09 30.9;-57 37
277-03.2 ;09 31.4;-56 17
275-01.2 ;09 34.0;-53 12
277-01.1 ;09 37.9;-54 28
238+34.1 ;09 39.1;-02 49
281-05.1 ;09 38.7;-60 06
279-03.2 ;09 40.9;-56 58
274+02.1 ;09 41.2;-49 23
274+02.2 ;09 41.6;-49 58
279-03.1 ;09 43.4;-57 17
248+29.1 ;09 45.6;-13 10
274+03.1 ;09 47.5;-48 58
221+46.1 ;09 53.0;+13 45
273+06.1 ;09 52.7;-46 17
279-00.1 ;09 53.4;-54 52
280-02.1 ;09 54.8;-57 19
277+03.1 ;09 58.2;-50 39
284-05.1 ;10 02.0;-61 58
283-04.1 ;10 03.8;-60 44
274+09.1 ;10 05.7;-44 22
272+12.1 ;10 07.0;-40 27
286-06.2 ;10 07.0;-64 22
286-06.1 ;10 07.4;-63 55
285-05.1 ;10 09.4;-62 37
280+01.1 ;10 10.6;-53 56
296-20.1 ;10 09.4;-80 52
280+02.1 ;10 12.0;-52 38
278+05.1 ;10 13.3;-50 20
282-00.1 ;10 13.3;-56 56
283-01.2 ;10 14.4;-58 12
283-01.1 ;10 15.5;-58 51
286-04.1 ;10 17.8;-62 40
285-02.2 ;10 19.5;-60 13
285-02.1 ;10 23.2;-60 32
261+32.1 ;10 24.8;-18 38
285-01.1 ;10 28.5;-59 03
282+03.1 ;10 31.5;-53 33
283+02.1 ;10 31.6;-55 20
270+24.1 ;10 34.5;-29 12
283+03.1 ;10 34.3;-53 41
288-05.1 ;10 35.7;-64 20
285+01.1 ;10 38.5;-56 47
285+01.2 ;10 39.6;-57 07
285+02.1 ;10 41.3;-56 10
288-02.1 ;10 44.5;-61 40
286+02.1 ;10 48.8;-56 03
288-00.1 ;10 54.0;-60 27
283+09.1 ;10 54.7;-48 47
288+00.1 ;10 54.6;-59 10
289-01.1 ;10 56.1;-61 28
288+00.2 ;10 59.7;-59 01
291-04.1 ;11 00.3;-65 15
290-00.1 ;11 03.9;-60 36
286+11.1 ;11 13.9;-47 57
148+57.1 ;11 14.8;+55 01
295-09.1 ;11 17.8;-70 49
288+08.1 ;11 18.2;-52 10
289+07.1 ;11 24.0;-52 51
283+25.1 ;11 26.7;-34 23
291+03.1 ;11 27.4;-57 18
292+01.1 ;11 28.0;-59 58
290+07.1 ;11 28.6;-52 57
292+01.2 ;11 28.8;-60 07
292+01.3 ;11 30.8;-59 18
289+10.1 ;11 31.5;-49 59
294-04.1 ;11 31.7;-65 59
292+04.1 ;11 33.3;-57 07
293+01.1 ;11 35.2;-60 17
296-06.1 ;11 39.2;-68 53
294-00.1 ;11 41.6;-62 29
296-03.1 ;11 48.6;-65 09
294+04.1 ;11 50.3;-57 11
291+19.1 ;11 52.5;-42 18
293+10.1 ;11 53.1;-50 51
290+27.1 ;11 56.7;-34 26
144+65.1 ;11 57.8;+48 56
294+14.1 ;12 00.8;-47 33
298-04.1 ;12 04.2;-67 19
298-01.2 ;12 08.4;-64 12
297+03.1 ;12 09.1;-58 43
298-01.1 ;12 15.3;-63 40
299-04.1 ;12 16.5;-66 46
275+72.1 ;12 18.3;+11 03
298+06.1 ;12 18.6;-55 54
299-01.1 ;12 23.0;-64 02
299+00.1 ;12 23.5;-62 39
299+02.1 ;12 23.9;-60 14
294+43.1 ;12 24.5;-18 47
300-02.2 ;12 28.6;-65 20
300+00.1 ;12 28.7;-62 06
300-00.1 ;12 28.7;-63 45
300-01.1 ;12 30.1;-63 53
300-03.1 ;12 30.4;-66 15
300-02.1 ;12 30.5;-64 53
299+18.1 ;12 30.9;-44 15
298+34.1 ;12 33.2;-27 49
301-01.1 ;12 34.6;-64 19
123+34.1 ;12 33.1;+82 33
302-05.1 ;12 43.4;-68 12
302+02.1 ;12 45.9;-60 20
302-00.2 ;12 48.5;-63 50
303+40.1 ;12 53.6;-22 52
339+88.1 ;12 55.5;+25 54
049+88.1 ;12 59.5;+27 38
304+05.2 ;13 00.7;-56 54
304+05.1 ;13 05.8;-57 39
304-04.1 ;13 08.8;-67 39
305+01.1 ;13 09.6;-61 20
305+03.1 ;13 14.5;-58 52
305-03.1 ;13 19.5;-66 09
306-00.1 ;13 22.5;-63 21
307+05.1 ;13 24.4;-57 32
310+24.1 ;13 25.7;-37 37
308+07.1 ;13 28.0;-54 42
307-01.1 ;13 28.7;-63 50
305-13.1 ;13 34.3;-75 46
307-03.1 ;13 33.5;-65 58
307-03.2 ;13 37.6;-66 09
308+00.1 ;13 38.7;-61 56
307-04.1 ;13 39.6;-67 23
318+41.1 ;13 40.7;-19 53
309+00.1 ;13 42.6;-61 22
309+01.1 ;13 44.0;-60 50
307-09.1 ;13 45.4;-71 29
308-03.1 ;13 46.4;-65 46
312+10.1 ;13 51.1;-51 12
309-04.1 ;13 52.5;-66 24
310+01.1 ;13 53.4;-60 34
309-04.2 ;13 54.0;-66 31
309-02.1 ;13 54.5;-65 00
310+01.2 ;13 54.4;-60 28
311+03.1 ;13 54.9;-58 28
311+02.2 ;13 55.8;-59 23
311+02.1 ;13 58.3;-58 55
314+10.1 ;14 01.2;-50 40
326+42.1 ;14 04.4;-17 13
310-02.1 ;14 05.6;-64 41
315+09.1 ;14 11.9;-51 26
312-02.1 ;14 14.2;-63 26
308-12.1 ;14 15.4;-74 13
310-05.1 ;14 15.4;-67 32
313+01.1 ;14 15.9;-60 02
312-00.1 ;14 16.0;-61 54
313+02.1 ;14 16.9;-58 53
003+66.1 ;14 16.4;+13 52
315+08.1 ;14 17.5;-52 26
316+08.1 ;14 18.2;-52 11
312-01.1 ;14 18.7;-63 07
311-06.1 ;14 19.0;-67 29
315+05.1 ;14 20.8;-55 28
314+02.1 ;14 21.3;-58 39
315+05.2 ;14 22.0;-55 03
319+15.1 ;14 22.5;-44 09
315-00.1 ;14 33.3;-60 50
316+00.1 ;14 38.3;-59 12
319+06.1 ;14 40.5;-52 35
315-01.1 ;14 41.3;-61 20
317+03.1 ;14 41.6;-56 15
316-01.1 ;14 46.3;-61 14
321+08.1 ;14 46.5;-50 24
315-04.1 ;14 52.6;-64 02
324+09.1 ;15 01.6;-48 21
318-02.1 ;15 04.2;-60 54
318-02.3 ;15 05.6;-60 49
321+02.1 ;15 05.3;-55 11
318-02.2 ;15 06.0;-61 22
321+02.2 ;15 05.9;-56 00
327+13.1 ;15 06.2;-43 00
318-03.1 ;15 08.8;-61 44
339+29.1 ;15 08.3;-23 14
321+02.3 ;15 09.4;-55 33
317-05.1 ;15 10.7;-64 40
321+01.1 ;15 12.0;-55 40
331+16.1 ;15 12.8;-38 07
327+10.1 ;15 16.8;-45 39
324+03.1 ;15 19.2;-53 10
313-12.1 ;15 21.2;-72 14
326+07.1 ;15 19.7;-49 00
323+02.1 ;15 22.3;-54 09
342+27.1 ;15 22.3;-23 38
322-00.1 ;15 23.7;-57 10
324+02.1 ;15 23.6;-53 52
085+52.1 ;15 21.7;+52 22
325+04.2 ;15 24.9;-51 50
325+04.1 ;15 25.1;-51 20
325+03.1 ;15 25.5;-52 51
321-03.1 ;15 30.3;-61 01
322-02.1 ;15 34.2;-59 09
315-13.1 ;15 37.2;-71 55
323-02.1 ;15 38.0;-58 45
326+02.1 ;15 39.7;-52 37
324-01.1 ;15 41.9;-56 37
330+05.1 ;15 42.3;-47 41
335+12.1 ;15 43.1;-39 18
326+00.1 ;15 45.0;-54 02
322-05.1 ;15 47.6;-61 13
328+01.1 ;15 49.5;-52 30
323-04.1 ;15 50.5;-59 59
325-01.1 ;15 51.4;-56 21
330+04.1 ;15 51.2;-48 45
330+04.2 ;15 51.3;-48 26
322-06.1 ;15 52.2;-62 31
329+02.1 ;15 51.6;-51 31
326-01.2 ;15 53.0;-56 25
335+09.1 ;15 53.2;-41 51
331+03.1 ;15 53.4;-48 44
052+50.1 ;15 51.9;+32 57
329+01.1 ;15 54.8;-51 23
320-09.1 ;15 56.0;-66 09
327-01.2 ;15 58.2;-55 42
325-04.1 ;15 59.1;-58 24
342+15.1 ;15 58.8;-32 01
327-02.1 ;16 00.0;-55 55
332+03.1 ;16 00.3;-48 15
327-01.1 ;16 01.0;-55 05
328-01.1 ;16 01.8;-54 53
341+13.1 ;16 01.3;-34 32
336+08.1 ;16 02.2;-41 33
340+12.1 ;16 03.4;-36 01
331+01.1 ;16 04.2;-50 50
064+48.1 ;16 04.4;+40 41
332+01.1 ;16 07.0;-49 27
340+10.1 ;16 08.4;-37 09
331+00.1 ;16 09.0;-51 02
345+15.1 ;16 09.7;-30 55
328-02.1 ;16 10.7;-54 58
329-02.3 ;16 12.5;-54 24
025+40.1 ;16 11.7;+12 04
342+10.1 ;16 13.0;-36 14
327-04.1 ;16 14.0;-57 00
343+11.1 ;16 13.4;-34 36
341+09.1 ;16 13.6;-38 00
329-02.1 ;16 14.4;-54 48
329-02.2 ;16 14.6;-54 58
326-06.1 ;16 15.7;-59 54
330-02.2 ;16 15.3;-53 51
336+04.1 ;16 15.1;-45 11
333+01.1 ;16 15.3;-49 13
346+14.1 ;16 14.9;-30 31
330-02.1 ;16 17.2;-53 32
331-01.1 ;16 17.2;-51 59
327-05.1 ;16 19.2;-57 59
341+08.1 ;16 19.2;-37 47
338+05.1 ;16 19.4;-42 15
331-02.1 ;16 22.2;-53 41
013+32.1 ;16 21.1;-00 16
327-06.1 ;16 23.5;-58 19
346+12.1 ;16 23.3;-31 45
336+01.1 ;16 23.9;-46 42
330-03.1 ;16 24.4;-54 36
331-02.2 ;16 24.6;-53 23
331-03.1 ;16 27.9;-54 02
327-07.1 ;16 29.5;-59 10
047+42.1 ;16 27.5;+27 54
332-03.1 ;16 29.8;-53 24
331-03.2 ;16 30.0;-54 10
337+01.1 ;16 30.4;-46 02
334-01.1 ;16 31.1;-50 26
341+05.1 ;16 31.5;-40 15
335-01.1 ;16 34.3;-49 21
346+08.1 ;16 34.1;-35 05
340+03.1 ;16 34.8;-42 04
332-04.1 ;16 35.4;-53 50
342+05.1 ;16 36.4;-39 52
331-05.1 ;16 37.7;-55 42
336-01.1 ;16 38.1;-48 43
333-04.1 ;16 39.6;-52 49
345+06.1 ;16 39.4;-36 34
339+00.1 ;16 41.5;-45 13
336-02.1 ;16 42.1;-49 45
061+41.1 ;16 40.3;+38 42
344+04.1 ;16 42.5;-38 55
339+00.2 ;16 43.2;-46 01
326-10.1 ;16 44.7;-62 38
343+03.1 ;16 44.4;-40 04
000+17.1 ;16 43.9;-18 58
335-03.1 ;16 45.0;-51 13
339-00.1 ;16 45.3;-46 09
352+11.2 ;16 44.8;-28 04
043+37.1 ;16 44.5;+23 48
345+04.1 ;16 46.7;-38 37
335-03.2 ;16 47.9;-50 42
335-04.1 ;16 48.7;-51 09
348+06.1 ;16 48.8;-35 01
347+05.1 ;16 48.9;-35 47
359+15.1 ;16 48.6;-21 01
344+03.1 ;16 49.5;-39 21
345+03.1 ;16 50.4;-39 08
351+09.1 ;16 50.3;-30 20
094+38.1 ;16 47.5;+64 08
350+07.1 ;16 51.1;-32 23
344+02.1 ;16 51.6;-40 03
325-12.1 ;16 54.6;-64 15
342+00.1 ;16 53.5;-42 39
351+07.1 ;16 53.6;-31 41
345+03.2 ;16 54.4;-38 44
353+08.1 ;16 55.8;-29 51
342-00.1 ;16 56.6;-43 47
337-04.1 ;16 57.5;-49 47
344+00.1 ;16 57.4;-41 38
347+03.1 ;16 57.5;-37 06
348+04.1 ;16 57.9;-35 25
336-05.1 ;16 59.6;-51 42
321-16.1 ;17 01.3;-70 06
339-03.1 ;17 01.4;-47 45
349+04.1 ;17 01.1;-34 49
343-00.1 ;17 01.5;-43 06
000+12.1 ;17 01.6;-21 49
334-07.1 ;17 03.0;-53 56
351+05.1 ;17 02.4;-33 10
340-03.1 ;17 03.1;-47 00
351+04.1 ;17 03.8;-33 30
353+06.2 ;17 04.3;-30 53
347+01.1 ;17 04.6;-37 53
350+04.1 ;17 04.6;-33 59
345+00.1 ;17 05.2;-40 53
353+06.1 ;17 05.2;-30 32
343-01.1 ;17 05.6;-43 56
352+05.1 ;17 05.5;-32 32
336-06.1 ;17 06.3;-52 30
358+09.1 ;17 05.8;-25 25
342-02.1 ;17 06.4;-44 13
010+18.2 ;17 05.7;-10 09
344-01.1 ;17 07.0;-42 41
354+06.1 ;17 07.0;-29 38
342-02.2 ;17 07.5;-44 23
351+03.1 ;17 07.4;-34 05
011+17.1 ;17 06.9;-09 47
358+09.2 ;17 07.8;-25 04
332-09.1 ;17 09.0;-56 55
358+08.1 ;17 08.4;-25 14
336-07.1 ;17 09.6;-52 13
345-01.1 ;17 10.4;-41 53
357+07.1 ;17 10.7;-27 09
334-09.1 ;17 11.7;-55 24
340-04.1 ;17 11.4;-47 25
357+07.2 ;17 11.2;-27 12
354+05.1 ;17 11.7;-30 29
344-01.2 ;17 12.4;-42 31
352+03.1 ;17 12.2;-32 38
358+07.2 ;17 12.6;-26 26
358+07.1 ;17 12.7;-25 44
354+04.4 ;17 12.9;-30 41
018+20.1 ;17 12.8;-03 16
349+01.1 ;17 13.8;-37 06
354+04.1 ;17 14.1;-31 19
009+14.1 ;17 14.1;-12 54
352+03.2 ;17 14.7;-33 24
355+04.2 ;17 15.0;-30 20
331-12.1 ;17 16.3;-59 29
075+35.1 ;17 13.8;+49 17
354+04.3 ;17 15.9;-31 22
359+07.1 ;17 16.8;-24 59
356+05.1 ;17 17.4;-28 59
355+04.1 ;17 17.9;-30 02
358+06.1 ;17 18.4;-26 22
357+05.1 ;17 18.6;-27 50
354+03.1 ;17 18.8;-31 39
355+03.4 ;17 19.0;-30 54
342-04.1 ;17 19.5;-45 53
355+03.3 ;17 19.3;-31 13
359+06.1 ;17 19.2;-25 17
353+02.1 ;17 19.7;-32 29
338-08.1 ;17 20.7;-51 45
341-06.1 ;17 21.1;-47 35
000+06.2 ;17 20.4;-24 52
356+04.1 ;17 20.6;-29 01
356+04.3 ;17 21.1;-29 23
356+04.2 ;17 21.1;-29 03
358+05.1 ;17 21.2;-27 12
002+08.1 ;17 21.3;-22 19
355+03.2 ;17 21.5;-30 21
357+04.2 ;17 21.7;-28 55
337-09.1 ;17 22.6;-52 47
349-01.1 ;17 22.2;-38 29
342-06.2 ;17 22.8;-47 03
354+02.1 ;17 22.6;-32 14
000+06.1 ;17 22.9;-25 25
357+04.1 ;17 23.4;-28 59
331-13.1 ;17 25.1;-59 33
355+02.1 ;17 24.0;-31 02
359+05.1 ;17 24.0;-26 00
357+04.3 ;17 24.3;-28 47
347-02.1 ;17 24.7;-40 53
355+02.3 ;17 24.4;-31 44
357+03.1 ;17 24.6;-29 25
355+02.2 ;17 24.7;-30 52
357+03.6 ;17 24.7;-28 45
358+04.1 ;17 24.8;-28 06
003+07.1 ;17 24.8;-21 34
355+02.4 ;17 25.0;-31 29
356+03.1 ;17 25.1;-29 46
356+02.1 ;17 25.3;-30 41
359+05.3 ;17 25.4;-26 12
345-04.1 ;17 26.2;-44 12
359+04.1 ;17 25.7;-26 58
359+05.2 ;17 25.7;-26 12
357+03.2 ;17 26.0;-29 22
352+00.1 ;17 26.4;-35 02
343-05.1 ;17 27.1;-45 33
007+10.1 ;17 26.6;-16 49
357+03.4 ;17 27.0;-29 16
358+04.3 ;17 27.0;-27 41
358+04.2 ;17 27.1;-27 43
342-06.1 ;17 27.8;-46 55
358+03.1 ;17 27.4;-28 27
358+03.2 ;17 27.6;-28 31
358+03.9 ;17 27.8;-28 11
002+06.1 ;17 27.9;-22 57
001+05.1 ;17 28.1;-24 25
352-00.1 ;17 28.4;-35 07
358+03.3 ;17 28.7;-28 27
001+05.2 ;17 28.7;-24 51
357+02.5 ;17 28.8;-30 07
011+11.1 ;17 28.5;-13 26
006+08.1 ;17 28.9;-19 16
009+10.1 ;17 29.1;-15 13
000+04.2 ;17 29.4;-26 26
002+05.1 ;17 29.3;-23 45
000+04.1 ;17 29.4;-25 49
344-06.1 ;17 30.1;-45 23
358+03.7 ;17 29.7;-28 40
357+02.4 ;17 29.7;-29 33
000+04.3 ;17 29.9;-26 11
358+03.4 ;17 30.0;-27 59
003+06.1 ;17 30.0;-22 37
000+04.4 ;17 30.2;-26 21
359+03.4 ;17 30.2;-27 30
358+02.2 ;17 30.4;-29 10
358+02.4 ;17 30.5;-28 36
358+03.6 ;17 30.7;-28 04
002+05.2 ;17 30.6;-23 45
357+02.7 ;17 30.8;-30 17
359+03.2 ;17 30.8;-27 06
356+01.2 ;17 31.0;-31 01
357+02.6 ;17 31.1;-30 10
358+03.8 ;17 31.2;-28 15
358+02.5 ;17 31.8;-28 42
016+13.1 ;17 31.5;-08 19
349-03.1 ;17 32.4;-39 51
004+06.3 ;17 31.9;-21 50
